name,company_id,movie,movie_id
Avex Entertainment,0179653,Initial D: Third Stage,388130
Toei Company,0053157,Initial D: Third Stage,388130
FUNimation Entertainment,0039940,Initial D: Third Stage,388130
S.S. Animent,0921883,Initial D: Third Stage,388130
Gébéka Films,0038517,Don't Make Trouble!,273772
Twentieth Century Fox,0000756,Waking Life,243017
Fox Searchlight Pictures,0028932,Waking Life,243017
20th Century Fox Argentina,0007180,Waking Life,243017
Fox-Warner,0125154,Waking Life,243017
Gemini Film,0067533,Waking Life,243017
Hispano Foxfilms S.A.E.,0000956,Waking Life,243017
Twentieth Century Fox,0000756,Waking Life,243017
Twentieth Century Fox,0000756,Waking Life,243017
Twentieth Century Fox,0000756,Waking Life,243017
Twentieth Century Fox,0000756,Waking Life,243017
Twentieth Century Fox,0000756,Waking Life,243017
20th Century Fox Home Entertainment,0297163,Waking Life,243017
20th Century Fox Home Entertainment,0010224,Waking Life,243017
Capelight Pictures,0151501,Waking Life,243017
FS Film,0363592,Waking Life,243017
SubTV,0102030,Waking Life,243017
Anolis Entertainment,0068070,Mutant Aliens,277909
Apollo Cinema,0112126,Mutant Aliens,277909
IndieDVD,0084806,Mutant Aliens,277909
Buena Vista Pictures,0044279,Recess: School's Out,265632
Buena Vista International,0000779,Recess: School's Out,265632
Buena Vista International,0000779,Recess: School's Out,265632
Gaumont Buena Vista International (GBVI),0033410,Recess: School's Out,265632
Buena Vista International,0000779,Recess: School's Out,265632
Buena Vista International,0000779,Recess: School's Out,265632
Walt Disney Home Entertainment,0087337,Recess: School's Out,265632
Buena Vista International,0000779,Recess: School's Out,265632
Disney Channel,0022105,Recess: School's Out,265632
Net5,0115441,Recess: School's Out,265632
American Broadcasting Company (ABC),0037052,Recess: School's Out,265632
Disney Channel,0022105,Recess: School's Out,265632
Disney+,0721120,Recess: School's Out,265632
Gativideo,0044350,Recess: School's Out,265632
Gativideo,0044350,Recess: School's Out,265632
Héliotrope Films,0008493,"Pic-Pic, André et leurs amis",277955
Twentieth Century Fox,0000756,Monkeybone,166276
20th Century Fox Argentina,0007180,Monkeybone,166276
20th Century Fox India,0092296,Monkeybone,166276
Hispano Foxfilms S.A.E.,0000956,Monkeybone,166276
Twentieth Century Fox,0000756,Monkeybone,166276
UGC-Fox Distribution (UFD),0055795,Monkeybone,166276
101 Films,0309225,Monkeybone,166276
