name,company_id,movie,movie_id
Avex Entertainment,0179653,Initial D: Third Stage,388130
Kôdansha,0021660,Initial D: Third Stage,388130
OB Planning,0099762,Initial D: Third Stage,388130
Pastel,0113955,Initial D: Third Stage,388130
Studio DEEN,0036168,Initial D: Third Stage,388130
Dire Faire Contre le Racisme,0072738,Don't Make Trouble!,273772
Little Bear,0069857,Don't Make Trouble!,273772
Fox Searchlight Pictures,0028932,Waking Life,243017
Independent Film Channel (IFC),0046530,Waking Life,243017
Thousand Words,0042682,Waking Life,243017
Flat Black Films,0054189,Waking Life,243017
Detour Filmproduction,0123642,Waking Life,243017
Line Research,0064516,Waking Life,243017
Thud Rumble!,0060259,Wave Twisters,291559
Plymptoons,0077590,Mutant Aliens,277909
Disney Television Animation,0030830,Recess: School's Out,265632
Disneytoon Studios,0092035,Recess: School's Out,265632
Twentieth Century Fox,0000756,Monkeybone,166276
1492 Pictures,0046151,Monkeybone,166276
Twentieth Century Fox Animation,0179259,Monkeybone,166276
Twitching Image Studio,0035999,Monkeybone,166276
TriStar Pictures,0005883,The Trumpet of the Swan,206367
RichCrest Animation,0028606,The Trumpet of the Swan,206367
Nest Family Entertainment,0004117,The Trumpet of the Swan,206367
Toei Animation,0062107,One Piece: Clockwork Island Adventure,832449
Shin Ei Animation,0125584,Doraemon: Nobita and the Winged Braves,306741
Asatsu,0154151,Doraemon: Nobita and the Winged Braves,306741
Shogakukan,0011744,Doraemon: Nobita and the Winged Braves,306741
TV Asahi,0025002,Doraemon: Nobita and the Winged Braves,306741
Lumifilm Oy,0040094,Tootletubs & Jyro,287058
China Star Entertainment,0003221,Old Master Q 2001,199898
One Hundred Years of Film Company,0036229,Old Master Q 2001,199898
Film Workshop,0000295,Old Master Q 2001,199898
Shin Ei Animation,0125584,Shin Chan: The Adult Empire Strikes Back,831848
TV Asahi Productions,0228925,Shin Chan: The Adult Empire Strikes Back,831848
Toho Company,0002219,Shin Chan: The Adult Empire Strikes Back,831848
TMS Entertainment,0064579,Detective Conan: Countdown to Heaven,1073223
DreamWorks Animation,0129164,Shrek,126029
Dreamworks Pictures,0819670,Shrek,126029
Pacific Data Images,0069464,Shrek,126029
Vanguard Films,0005025,Shrek,126029
Gaga Communications,0350331,Malice@Doll,363277
Soeishinsha Company Ltd.,0034042,Malice@Doll,363277
Visual Sciences Laboratory,0022317,Malice@Doll,363277
Bandai Visual Company,0080697,Metropolis,293416
DENTSU Music And Entertainment,0064941,Metropolis,293416
Imagica Corp.,0195909,Metropolis,293416
Kadokawa Shoten Publishing Co.,0060607,Metropolis,293416
King Records,0041411,Metropolis,293416
Madhouse Productions,0078844,Metropolis,293416
Madhouse,0022946,Metropolis,293416
Metropolis Project,0040803,Metropolis,293416
Sony Pictures Television,0071392,Metropolis,293416
Tezuka Productions,0027922,Metropolis,293416
Toho Company,0002219,Metropolis,293416
Centre national du cinéma et de l'image animée,0090290,Petit Potam,284394
Dargaud Films,0068017,Petit Potam,284394
Marina Productions,0040903,Petit Potam,284394
Neuroplanet,0019672,Petit Potam,284394
Walt Disney Animation Studios,0074039,Atlantis: The Lost Empire,230011
Walt Disney Pictures,0008970,Atlantis: The Lost Empire,230011
Chris Lee Productions,0012408,Final Fantasy: The Spirits Within,173840
Square Company,0035851,Final Fantasy: The Spirits Within,173840
Square USA,0040831,Final Fantasy: The Spirits Within,173840
Pikachu Project 2001,0111261,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Shogakukan,0011744,Pokemon 4Ever: Celebi - Voice of the Forest,287635
4 Kids Entertainment,0052177,Pokemon 4Ever: Celebi - Voice of the Forest,287635
4 Kids Entertainment,0052177,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Kids' WB,0108606,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Nintendo,0002481,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Pikachu Project 2002,0119942,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Pikachu Project,0227410,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Pokémon USA,0082216,Pokemon 4Ever: Celebi - Voice of the Forest,287635
Tokyo Movie Shinsha,0741536,Sore Ike! Anpanman: Gomira no hoshi,15864378
Tokuma Shoten,0016626,Spirited Away,245429
Studio Ghibli,0048420,Spirited Away,245429
Nippon Television Network (NTV),0003850,Spirited Away,245429
Dentsu,0169264,Spirited Away,245429
Buena Vista Home Entertainment,0088070,Spirited Away,245429
Tohokushinsha Film Corporation (TFC),0032110,Spirited Away,245429
