,imdb_id,title,cast,year,production_companies,countries,distributors,certificates,genres,air_date,imdb_rating,imdb_votes
0,0388130,Initial D: Third Stage,"[<Person id:1591151[http] name:_Chris Ayres_>, <Person id:1364905[http] name:_Greg Ayres_>, <Person id:1215197[http] name:_Christopher Bevins_>, <Person id:0089707[http] name:_Steve Blum_>, <Person id:0121423[http] name:_John Burgmeier_>, <Person id:0132285[http] name:_Charles C. Campbell_>, <Person id:0136917[http] name:_Bruce Carey_>, <Person id:0143801[http] name:_Chris Cason_>, <Person id:3009201[http] name:_James Cave_>, <Person id:1513684[http] name:_Colleen Clinkenbeard_>, <Person id:0186528[http] name:_Cynthia Cranz_>, <Person id:3670298[http] name:_Terri Doty_>, <Person id:0235103[http] name:_Jason Douglas_>, <Person id:1755972[http] name:_Jon Duckworth_>, <Person id:2969903[http] name:_Scott Freeman_>, <Person id:3435683[http] name:_Cris George_>, <Person id:2171329[http] name:_Josh Grelle_>, <Person id:1920556[http] name:_Todd Haberkorn_>, <Person id:2968394[http] name:_Chad Halbrook_>, <Person id:0387033[http] name:_Nobuyuki Hiyama_>, <Person id:4072722[http] name:_Stephen Hoff_>, <Person id:0399321[http] name:_Chuck Huber_>, <Person id:0411167[http] name:_Unshô Ishizuka_>, <Person id:0412628[http] name:_Mitsuo Iwata_>, <Person id:0442933[http] name:_Ayako Kawasumi_>, <Person id:0468729[http] name:_Takehito Koyasu_>, <Person id:1312048[http] name:_Jim Kuenzer_>, <Person id:1896066[http] name:_Joel McDonald_>, <Person id:0586003[http] name:_Vic Mignogna_>, <Person id:0586528[http] name:_Shin'ichirô Miki_>, <Person id:4108775[http] name:_Anastasia Munoz_>, <Person id:2986974[http] name:_Trina Nishimura_>, <Person id:0645522[http] name:_Kôsuke Okano_>, <Person id:1754270[http] name:_Brina Palencia_>, <Person id:3009719[http] name:_Ben Phillips_>, <Person id:3527523[http] name:_Kyle Phillips_>, <Person id:0722676[http] name:_Monica Rial_>, <Person id:0754526[http] name:_Christopher Sabat_>, <Person id:0782840[http] name:_Tomokazu Seki_>, <Person id:3266504[http] name:_Will Short_>, <Person id:0847085[http] name:_Wataru Takagi_>, <Person id:2057312[http] name:_J. Michael Tatum_>, <Person id:8286639[http] name:_Joseph Tompkins_>, <Person id:0425061[http] name:_Eric Vale_>, <Person id:0931060[http] name:_Kent Williams_>, <Person id:0946295[http] name:_Kazuki Yao_>]",2001,"[<Company id:0179653[http] name:_Avex Entertainment_>, <Company id:0021660[http] name:_Kôdansha_>, <Company id:0099762[http] name:_OB Planning_>, <Company id:0113955[http] name:_Pastel_>, <Company id:0036168[http] name:_Studio DEEN_>]",['Japan'],"[<Company id:0179653[http] name:_Avex Entertainment_>, <Company id:0053157[http] name:_Toei Company_>, <Company id:0039940[http] name:_FUNimation Entertainment_>, <Company id:0921883[http] name:_S.S. Animent_>]","['Australia:PG', 'Japan:G', 'United States:TV-PG']","['Animation', 'Action', 'Romance', 'Sport']",13 Jan 2001 (Japan),7.6,1387
1,0273772,Don't Make Trouble!,"[<Person id:0331663[http] name:_Eléonore Bernheim_>, <Person id:0220015[http] name:_Elisabeth Depardieu_>, <Person id:0075710[http] name:_François Berléand_>, <Person id:0301245[http] name:_Manoëlle Gaillard_>, <Person id:0591224[http] name:_Guy-Pierre Mineur_>, <Person id:0609743[http] name:_Alexandre Moulo_>, <Person id:0248254[http] name:_Eriq Ebouaney_>, <Person id:0846484[http] name:_Claudia Tagbo_>, <Person id:0468124[http] name:_Adama Kouyaté_>, <Person id:0871045[http] name:_Fatou Traoré_>, <Person id:0803083[http] name:_Anna Sissoko_>, <Person id:0895606[http] name:_Florence Viala_>, <Person id:0202373[http] name:_Corentin Daumas_>, <Person id:0900464[http] name:_Evelyne Viérin_>, <Person id:0869714[http] name:_Mamadi Touré_>, <Person id:0633339[http] name:_Sokam Njaboy_>, <Person id:0633338[http] name:_Nbero Njaboy_>, <Person id:0227891[http] name:_Afchiata Diomambe_>, <Person id:0234459[http] name:_Massouho Dosso_>, <Person id:0252686[http] name:_El Kebir_>, <Person id:0768603[http] name:_Aymen Saïdi_>, <Person id:0024456[http] name:_Philippe Ambrosini_>, <Person id:0745500[http] name:_Mohamed Rouabhi_>, <Person id:0007706[http] name:_Margot Abascal_>, <Person id:0496010[http] name:_Jean-Claude Lecas_>, <Person id:0712529[http] name:_Joël Ravon_>, <Person id:0644141[http] name:_Martial Odone_>, <Person id:0696353[http] name:_Jo Prestia_>, <Person id:0609646[http] name:_Soria Moufakkir_>, <Person id:0037307[http] name:_Cécile Arrieu_>, <Person id:0039895[http] name:_Myriam Assouline_>, <Person id:0201669[http] name:_Jean-Pierre Darroussin_>, <Person id:0521646[http] name:_Rabah Loucif_>, <Person id:0237260[http] name:_Albert Dray_>, <Person id:0813055[http] name:_Natasha Solignac_>, <Person id:0155824[http] name:_Fatiha Cheriguene_>, <Person id:0558105[http] name:_Hamza Matar_>, <Person id:0558108[http] name:_Mohamed Matar_>, <Person id:1072949[http] name:_Nassim Gommart_>, <Person id:0269002[http] name:_Faudel_>, <Person id:0705108[http] name:_Jean-Rachid Kallouche_>, <Person id:0785647[http] name:_Saïd Serrari_>, <Person id:0070179[http] name:_Dalila Benamara_>, <Person id:0070180[http] name:_Fella Benamara_>, <Person id:0954704[http] name:_Roschdy Zem_>, <Person id:0577288[http] name:_Smaïl Mekki_>, <Person id:0653366[http] name:_Christophe Otzenberger_>]",2001,"[<Company id:0072738[http] name:_Dire Faire Contre le Racisme_>, <Company id:0069857[http] name:_Little Bear_>]",['France'],[<Company id:0038517[http] name:_Gébéka Films_>],['France:Tous publics'],"['Animation', 'Drama', 'Comedy']",17 Jan 2001 (France),6.6,49
2,0243017,Waking Life,"[<Person id:1085025[http] name:_Trevor Jack Brooks_>, <Person id:1085951[http] name:_Lorelei Linklater_>, <Person id:0927812[http] name:_Wiley Wiggins_>, <Person id:0318666[http] name:_Glover Gill_>, <Person id:1153189[http] name:_Lara Hicks_>, <Person id:1147685[http] name:_Ames Asbell_>, <Person id:1149851[http] name:_Leigh Mahoney_>, <Person id:1153280[http] name:_Sara Nelson_>, <Person id:1147699[http] name:_Jeanine Attaway_>, <Person id:1148970[http] name:_Erik Grostic_>, <Person id:0936315[http] name:_Bill Wise_>, <Person id:1100234[http] name:_Robert C. Solomon_>, <Person id:0471811[http] name:_Kim Krizan_>, <Person id:1149079[http] name:_Eamonn Healy_>, <Person id:0787656[http] name:_J.C. Shakespeare_>, <Person id:0000160[http] name:_Ethan Hawke_>, <Person id:0000365[http] name:_Julie Delpy_>, <Person id:0348304[http] name:_Charles Gunning_>, <Person id:1102267[http] name:_David Sosa_>, <Person id:1093953[http] name:_Alex Jones_>, <Person id:1149150[http] name:_Otto Hofmann_>, <Person id:1148823[http] name:_Aklilu Gebrewold_>, <Person id:0206085[http] name:_Carol Dawson_>, <Person id:1094177[http] name:_Lisa Moore_>, <Person id:1152630[http] name:_Steve Fitch_>, <Person id:0533476[http] name:_Louis Mackey_>, <Person id:1152844[http] name:_Alex Nixon_>, <Person id:1150256[http] name:_Violet Nichols_>, <Person id:2402623[http] name:_Steven Prince_>, <Person id:0916939[http] name:_Ken Webster_>, <Person id:1087521[http] name:_Mary McBay_>, <Person id:0285240[http] name:_Kregg A. Foote_>, <Person id:1149143[http] name:_Jason T. Hodge_>, <Person id:0287047[http] name:_Guy Forsyth_>, <Person id:0159810[http] name:_John Christensen_>, <Person id:0004354[http] name:_Caveh Zahedi_>, <Person id:3205028[http] name:_David Jewell_>, <Person id:0004965[http] name:_Adam Goldberg_>, <Person id:0441588[http] name:_Nicky Katt_>, <Person id:0509523[http] name:_Jason Liebrecht_>, <Person id:2913745[http] name:_Brent Green_>, <Person id:1153038[http] name:_RC Whittaker_>, <Person id:1150822[http] name:_Hymie Samuelson_>, <Person id:0555057[http] name:_David Martínez_>, <Person id:1152882[http] name:_Ryan Power_>, <Person id:1149210[http] name:_Tiana Hux_>, <Person id:0506171[http] name:_Timothy 'Speed' Levitch_>, <Person id:0115709[http] name:_Steve Brudniak_>, <Person id:1153071[http] name:_Marta Banda_>, <Person id:0001752[http] name:_Steven Soderbergh_>, <Person id:1150178[http] name:_Charles Murdock_>, <Person id:0496727[http] name:_Mona Lee Fultz_>, <Person id:1086019[http] name:_Edith Mannix_>, <Person id:1148286[http] name:_Bess Cox_>, <Person id:0085405[http] name:_Louis Black_>, <Person id:0000500[http] name:_Richard Linklater_>, <Person id:1058152[http] name:_Kierstin Cunnington_>]",2001,"[<Company id:0028932[http] name:_Fox Searchlight Pictures_>, <Company id:0046530[http] name:_Independent Film Channel (IFC)_>, <Company id:0042682[http] name:_Thousand Words_>, <Company id:0054189[http] name:_Flat Black Films_>, <Company id:0123642[http] name:_Detour Filmproduction_>, <Company id:0064516[http] name:_Line Research_>]",['United States'],"[<Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0028932[http] name:_Fox Searchlight Pictures_>, <Company id:0007180[http] name:_20th Century Fox Argentina_>, <Company id:0125154[http] name:_Fox-Warner_>, <Company id:0067533[http] name:_Gemini Film_>, <Company id:0000956[http] name:_Hispano Foxfilms S.A.E._>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0297163[http] name:_20th Century Fox Home Entertainment_>, <Company id:0010224[http] name:_20th Century Fox Home Entertainment_>, <Company id:0151501[http] name:_Capelight Pictures_>, <Company id:0363592[http] name:_FS Film_>, <Company id:0102030[http] name:_SubTV_>]","['Argentina:13', 'Australia:M', 'Brazil:Livre', 'Canada:14A::(Canadian Home Video rating)', 'Canada:AA::(Ontario)', 'Canada:G::(Quebec)', 'Finland:K-7', 'Germany:12', 'Iceland:12', 'Ireland:15::(DVD rating)', 'Italy:T', 'Netherlands:6', 'New Zealand:M', 'Poland:16', 'Portugal:M/12', 'Russia:16+', 'Singapore:NC-16', 'South Korea:15', 'Spain:13', 'Sweden:11', 'United Kingdom:15', 'United Kingdom:15::(DVD rating)', 'United States:R']","['Animation', 'Drama', 'Fantasy']",07 Mar 2002 (Australia),7.7,63670
3,0291559,Wave Twisters,"[<Person id:0702579[http] name:_DJ Q-Bert_>, <Person id:1028835[http] name:_D-Styles_>, <Person id:1029438[http] name:_Flare_>, <Person id:1028395[http] name:_Buckethead_>, <Person id:1029039[http] name:_Riche-Van Desuasido_>, <Person id:1045325[http] name:_DJ Flare_>]",2001,[<Company id:0060259[http] name:_Thud Rumble!_>],['United States'],,['United States:Unrated'],"['Animation', 'Adventure', 'Musical', 'Sci-Fi']",,7.4,551
4,0277909,Mutant Aliens,"[<Person id:0566167[http] name:_Dan McComas_>, <Person id:0516486[http] name:_Francine Lobis_>, <Person id:0143171[http] name:_George Casden_>, <Person id:0114230[http] name:_Matthew Brown_>, <Person id:0146930[http] name:_Jay Cavanaugh_>, <Person id:0021406[http] name:_Amy Allison_>, <Person id:1169425[http] name:_Christopher Schukai_>, <Person id:0463828[http] name:_Kevin Kolack_>, <Person id:1163342[http] name:_Vera Beren_>, <Person id:0033826[http] name:_Anthony Arcidi_>, <Person id:1336832[http] name:_Thea Button_>, <Person id:0390350[http] name:_John Holderried_>, <Person id:0498018[http] name:_Phil Lee_>, <Person id:1335165[http] name:_Silkie O'Ishi_>, <Person id:0687739[http] name:_Bill Plympton_>, <Person id:1335501[http] name:_Samantha Ridgway_>, <Person id:1320067[http] name:_Susie Schwartz_>]",2001,[<Company id:0077590[http] name:_Plymptoons_>],['United States'],"[<Company id:0068070[http] name:_Anolis Entertainment_>, <Company id:0112126[http] name:_Apollo Cinema_>, <Company id:0084806[http] name:_IndieDVD_>]","['France:Tous publics', 'Germany:16', 'South Korea:18', 'United Kingdom:18', 'United States:R']","['Animation', 'Comedy', 'Sci-Fi']",09 Jan 2002 (France),6.6,1202
5,0265632,Recess: School's Out,"[<Person id:0172636[http] name:_Rickey D'Shon Collins_>, <Person id:0204771[http] name:_Jason Davis_>, <Person id:0424534[http] name:_Ashley Johnson_>, <Person id:0492620[http] name:_Andrew Lawrence_>, <Person id:0574882[http] name:_Courtland Mead_>, <Person id:0781899[http] name:_Pamela Adlon_>, <Person id:0001056[http] name:_Dabney Coleman_>, <Person id:0332587[http] name:_Robert Goulet_>, <Person id:0004997[http] name:_Melissa Joan Hart_>, <Person id:0001493[http] name:_Peter MacNicol_>, <Person id:0934589[http] name:_April Winchell_>, <Person id:0000249[http] name:_James Woods_>, <Person id:0046033[http] name:_Diedrich Bader_>, <Person id:0064015[http] name:_Allyce Beasley_>, <Person id:0074185[http] name:_Gregg Berger_>, <Person id:0103913[http] name:_Klee Bragger_>, <Person id:0000317[http] name:_Clancy Brown_>, <Person id:0144657[http] name:_Dan Castellaneta_>, <Person id:0146455[http] name:_Toran Caudell_>, <Person id:0186414[http] name:_Rachel Crane_>, <Person id:0197354[http] name:_Elizabeth Daily_>, <Person id:0000388[http] name:_R. Lee Ermey_>, <Person id:0322002[http] name:_Ron Glass_>, <Person id:0419645[http] name:_Tony Jay_>, <Person id:0476226[http] name:_Clyde Kusatsu_>, <Person id:0453909[http] name:_Charles Kimbrough_>, <Person id:0534134[http] name:_Tress MacNeille_>, <Person id:0551908[http] name:_Andrea Martin_>, <Person id:0563884[http] name:_Anndi McAfee_>, <Person id:0616796[http] name:_Mark Robert Myers_>, <Person id:0640891[http] name:_Ryan O'Donohue_>, <Person id:0698413[http] name:_Phil Proctor_>, <Person id:0719606[http] name:_Patrick Renna_>, <Person id:0724656[http] name:_Kevin Michael Richardson_>, <Person id:0727051[http] name:_Jack Riley_>, <Person id:0791561[http] name:_Justin Shenkarow_>, <Person id:0795740[http] name:_Michael Shulman_>, <Person id:0808216[http] name:_Francesca Marie Smith_>, <Person id:0815718[http] name:_Kath Soucie_>, <Person id:0821041[http] name:_Robert Stack_>, <Person id:0842855[http] name:_Ken Swofford_>, <Person id:0878155[http] name:_Nicholas Turturro_>, <Person id:0902184[http] name:_Erik von Detten_>, <Person id:0932750[http] name:_Paul Willson_>, <Person id:0005408[http] name:_Katey Sagal_>]",2001,"[<Company id:0030830[http] name:_Disney Television Animation_>, <Company id:0092035[http] name:_Disneytoon Studios_>]",['United States'],"[<Company id:0044279[http] name:_Buena Vista Pictures_>, <Company id:0000779[http] name:_Buena Vista International_>, <Company id:0000779[http] name:_Buena Vista International_>, <Company id:0033410[http] name:_Gaumont Buena Vista International (GBVI)_>, <Company id:0000779[http] name:_Buena Vista International_>, <Company id:0000779[http] name:_Buena Vista International_>, <Company id:0087337[http] name:_Walt Disney Home Entertainment_>, <Company id:0000779[http] name:_Buena Vista International_>, <Company id:0022105[http] name:_Disney Channel_>, <Company id:0115441[http] name:_Net5_>, <Company id:0037052[http] name:_American Broadcasting Company (ABC)_>, <Company id:0022105[http] name:_Disney Channel_>, <Company id:0721120[http] name:_Disney+_>, <Company id:0044350[http] name:_Gativideo_>, <Company id:0044350[http] name:_Gativideo_>]","['Argentina:Atp', 'Australia:G', 'Brazil:Livre', 'Canada:G::(Canadian Home Video rating)', 'France:Tous publics', 'Germany:0', 'Greece:K', 'Iceland:L', 'Italy:T', 'Japan:G', 'Mexico:A', 'Netherlands:AL', 'Peru:Apt', 'Russia:6+', 'Singapore:G', 'Spain:A', 'Switzerland:7::(canton of Geneva)', 'Switzerland:7::(canton of Vaud)', 'United Kingdom:U', 'United States:G']","['Animation', 'Adventure', 'Comedy', 'Family']",16 Feb 2001 (USA),6.5,10547
6,0277955,"Pic-Pic, André et leurs amis",,2001,,['Belgium'],[<Company id:0008493[http] name:_Héliotrope Films_>],['France:Tous publics'],['Animation'],21 Feb 2001 (France),7.1,52
7,0166276,Monkeybone,"[<Person id:0000409[http] name:_Brendan Fraser_>, <Person id:0000403[http] name:_Bridget Fonda_>, <Person id:0001806[http] name:_John Turturro_>, <Person id:0441592[http] name:_Chris Kattan_>, <Person id:0002064[http] name:_Giancarlo Esposito_>, <Person id:0000535[http] name:_Rose McGowan_>, <Person id:0004929[http] name:_Dave Foley_>, <Person id:0005259[http] name:_Megan Mullally_>, <Person id:0644022[http] name:_Bob Odenkirk_>, <Person id:0452914[http] name:_Pat Kilbane_>, <Person id:0005571[http] name:_Lisa Zane_>, <Person id:0000155[http] name:_Whoopi Goldberg_>, <Person id:0858109[http] name:_Sandra Thigpen_>, <Person id:0928657[http] name:_Wayne Wilderson_>, <Person id:0383326[http] name:_Amy Higgins_>, <Person id:0312297[http] name:_Alan Gelfant_>, <Person id:0636246[http] name:_Kristin Norton_>, <Person id:0389503[http] name:_Chris Hogan_>, <Person id:0125036[http] name:_Lucy Butler_>, <Person id:0843167[http] name:_John Sylvain_>, <Person id:0738918[http] name:_Lou Romano_>, <Person id:0480516[http] name:_Leon Laderach_>, <Person id:0734773[http] name:_Scott Rogers_>, <Person id:0859679[http] name:_Cris Thomas-Palomino_>, <Person id:0659840[http] name:_Tony Panterra_>, <Person id:0740360[http] name:_Ted Rooney_>, <Person id:0290048[http] name:_Christopher Franciosa_>, <Person id:0825566[http] name:_Mary Stein_>, <Person id:0682353[http] name:_Fred Pierce_>, <Person id:0737700[http] name:_Harper Roisman_>, <Person id:0517606[http] name:_Kristopher Logan_>, <Person id:0941472[http] name:_Scott Workman_>, <Person id:0429240[http] name:_Shawnee Free Jones_>, <Person id:0901679[http] name:_Ilia Volok_>, <Person id:0688092[http] name:_Edgar Allan Poe IV_>, <Person id:0006419[http] name:_Claudette Mink_>, <Person id:0116498[http] name:_Jon Bruno_>, <Person id:0557749[http] name:_Owen Masterson_>, <Person id:0653658[http] name:_Jen Sung_>, <Person id:0952026[http] name:_Tracy Zahoryin_>, <Person id:0878314[http] name:_Sunshine Deia Tutt_>, <Person id:0309096[http] name:_Jo Haugen Gash_>, <Person id:0116978[http] name:_Lindsay Bryan_>, <Person id:0092341[http] name:_Brooke Boisse_>, <Person id:0008396[http] name:_Meron Abebe_>, <Person id:0471357[http] name:_Mie Kringelbach_>, <Person id:0714699[http] name:_Rex Reddick_>, <Person id:0044472[http] name:_Sybil Azur_>, <Person id:0281945[http] name:_Anne Fletcher_>, <Person id:0594601[http] name:_Diane Mizota_>, <Person id:0490534[http] name:_Etty Lau_>, <Person id:0391918[http] name:_LaTonya Holmes_>, <Person id:0559735[http] name:_Lesli Jean Matta_>, <Person id:0812927[http] name:_Dawn Soler_>, <Person id:2096806[http] name:_Miko Watanbe_>, <Person id:0683969[http] name:_Frankie Pine_>, <Person id:2982376[http] name:_Anne King_>, <Person id:0039774[http] name:_Rachen Assapiomonwait_>, <Person id:0081116[http] name:_Veena Bidasha_>, <Person id:0413808[http] name:_Michael Anthony Jackson_>, <Person id:0427964[http] name:_Doug Jones_>, <Person id:0317727[http] name:_Arturo Gil_>, <Person id:0820766[http] name:_Jody St. Michael_>, <Person id:0298235[http] name:_Frit Fuller_>, <Person id:0298233[http] name:_Frat Fuller_>, <Person id:0824498[http] name:_Brian Steele_>, <Person id:0863208[http] name:_Leif Tilden_>, <Person id:1332316[http] name:_Tom Fisher_>, <Person id:0341774[http] name:_Joseph S. Griffo_>, <Person id:0863565[http] name:_Kim Timbers-Patteri_>, <Person id:0248190[http] name:_Lisa Ebeyer_>, <Person id:0229566[http] name:_Wayne Doba_>, <Person id:0898980[http] name:_Mark Viniello_>, <Person id:0825590[http] name:_Nathan Stein_>, <Person id:8654580[http] name:_Ed Holmes_>, <Person id:0345658[http] name:_Erica Gudis_>, <Person id:0590692[http] name:_Melinda Miamor_>, <Person id:0723372[http] name:_Caroline A. Rice_>, <Person id:2098266[http] name:_Michael L. Hammond_>, <Person id:0710020[http] name:_Joe Ranft_>, <Person id:0487010[http] name:_Bruce Lanoil_>, <Person id:0244394[http] name:_Debi Durst_>, <Person id:0112598[http] name:_Phil Brotherton_>, <Person id:0413996[http] name:_Roger Jackson_>, <Person id:0227660[http] name:_Jym Dingler_>, <Person id:0373254[http] name:_Leslie Hedger_>, <Person id:0322351[http] name:_Toby Gleason_>, <Person id:0871209[http] name:_Allan Trautman_>, <Person id:0593610[http] name:_Mike Mitchell_>, <Person id:0035796[http] name:_Lee Armstrong_>, <Person id:0098011[http] name:_Randall Bosley_>, <Person id:0122601[http] name:_Brendan Burns_>, <Person id:0139445[http] name:_Robert 'Duckie' Carpenter_>, <Person id:0002006[http] name:_Thomas Haden Church_>, <Person id:0232995[http] name:_Jamie Donovan_>, <Person id:2230709[http] name:_Roger Ferreira_>, <Person id:0288814[http] name:_Wendy Fowler_>, <Person id:1275668[http] name:_Peter Gardner_>, <Person id:0346937[http] name:_Paul Guiles_>, <Person id:11262071[http] name:_Lela Hough_>, <Person id:0002406[http] name:_Harry Jay Knowles_>, <Person id:0006463[http] name:_Jason Kravits_>, <Person id:0475086[http] name:_Jim Kundig_>, <Person id:0006542[http] name:_Pons Maar_>, <Person id:0551179[http] name:_Skyler Marshall_>, <Person id:1344971[http] name:_George Meyers_>, <Person id:1566169[http] name:_Bridget Oberlin_>, <Person id:4419546[http] name:_Uwe Schwarzwalder_>, <Person id:1179830[http] name:_Michelle Shaffer_>, <Person id:0004159[http] name:_Tom Tangen_>, <Person id:1422024[http] name:_Dina Torok_>, <Person id:0958562[http] name:_D. Danny Warhol_>]",2001,"[<Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0046151[http] name:_1492 Pictures_>, <Company id:0179259[http] name:_Twentieth Century Fox Animation_>, <Company id:0035999[http] name:_Twitching Image Studio_>]",['United States'],"[<Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0007180[http] name:_20th Century Fox Argentina_>, <Company id:0092296[http] name:_20th Century Fox India_>, <Company id:0000956[http] name:_Hispano Foxfilms S.A.E._>, <Company id:0000756[http] name:_Twentieth Century Fox_>, <Company id:0055795[http] name:_UGC-Fox Distribution (UFD)_>, <Company id:0309225[http] name:_101 Films_>, <Company id:0297163[http] name:_20th Century Fox Home Entertainment_>, <Company id:0280047[http] name:_20th Century Fox Home Entertainment_>, <Company id:0010224[http] name:_20th Century Fox Home Entertainment_>, <Company id:0010224[http] name:_20th Century Fox Home Entertainment_>, <Company id:0010224[http] name:_20th Century Fox Home Entertainment_>, <Company id:0161074[http] name:_20th Television_>, <Company id:0067793[http] name:_Anchor Bay Entertainment_>, <Company id:0067793[http] name:_Anchor Bay Entertainment_>, <Company id:0041475[http] name:_EuroVideo_>, <Company id:0363592[http] name:_FS Film_>, <Company id:0363592[http] name:_FS Film_>, <Company id:0044350[http] name:_Gativideo_>, <Company id:0069920[http] name:_Mainostelevisio (MTV3)_>, <Company id:0112383[http] name:_RTL Entertainment_>, <Company id:0189783[http] name:_Twentieth Century Fox Home Entertainment_>, <Company id:0189783[http] name:_Twentieth Century Fox Home Entertainment_>]","['Argentina:Atp', 'Australia:M', 'Bulgaria:B', 'Czechia:U', 'Finland:K-11', 'France:Tous publics', 'Germany:12', 'Hong Kong:I', 'Hungary:16', 'Iceland:LH', 'India:UA', 'Ireland:15', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Netherlands:6', 'New Zealand:PG', 'Norway:12::(iTunes rating)', 'Peru:Apt', 'Russia:16+', 'Singapore:PG', 'South Africa:10', 'South Korea:12', 'Spain:13', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:G', 'United Kingdom:12', 'United States:PG-13']","['Animation', 'Comedy', 'Fantasy']",23 Feb 2001 (USA),4.7,17792
8,0206367,The Trumpet of the Swan,"[<Person id:0004517[http] name:_Jason Alexander_>, <Person id:0005460[http] name:_Mary Steenburgen_>, <Person id:0000702[http] name:_Reese Witherspoon_>, <Person id:0001293[http] name:_Seth Green_>, <Person id:0000993[http] name:_Carol Burnett_>, <Person id:0001505[http] name:_Joe Mantegna_>, <Person id:0317484[http] name:_Sam Gifaldi_>, <Person id:0048389[http] name:_Dee Bradley Baker_>, <Person id:0228396[http] name:_Melissa Disney_>, <Person id:0815718[http] name:_Kath Soucie_>, <Person id:0197354[http] name:_Elizabeth Daily_>, <Person id:0781899[http] name:_Pamela Adlon_>, <Person id:0899079[http] name:_Steve Vinovich_>, <Person id:0930637[http] name:_Gary Anthony Williams_>, <Person id:0123553[http] name:_Corey Burton_>, <Person id:0935498[http] name:_Michael Winslow_>, <Person id:0421892[http] name:_David Jeremiah_>, <Person id:0622291[http] name:_Julie Nathanson_>, <Person id:0004859[http] name:_Dana Daurey_>, <Person id:0467512[http] name:_Michael Kostroff_>, <Person id:0536347[http] name:_Lee Magnuson_>, <Person id:0291266[http] name:_Steve Franken_>, <Person id:0006559[http] name:_Norman Parker_>, <Person id:0029460[http] name:_Jack Angel_>, <Person id:4402183[http] name:_Deborah Lippmann_>, <Person id:0774483[http] name:_Jeffrey Schoeny_>]",2001,"[<Company id:0005883[http] name:_TriStar Pictures_>, <Company id:0028606[http] name:_RichCrest Animation_>, <Company id:0004117[http] name:_Nest Family Entertainment_>]",['United States'],"[<Company id:0057443[http] name:_Columbia TriStar Films de España_>, <Company id:0127120[http] name:_Columbia TriStar Home Entertainment_>, <Company id:0063990[http] name:_Columbia TriStar Home Video_>, <Company id:0001850[http] name:_Columbia TriStar_>, <Company id:0001850[http] name:_Columbia TriStar_>, <Company id:0022105[http] name:_Disney Channel_>, <Company id:0005883[http] name:_TriStar Pictures_>]","['Australia:G', 'Brazil:Livre', 'Canada:G', 'Finland:S', 'France:Tous Public', 'Germany:0', 'Iceland:L', 'Ireland:G', 'Japan:G', 'Netherlands:AL', 'Spain:A', 'Sweden:Btl', 'United Kingdom:U', 'United States:G']","['Animation', 'Drama', 'Family', 'Musical']",22 Jun 2001 (USA),5.0,1159
9,0832449,One Piece: Clockwork Island Adventure,"[<Person id:0645500[http] name:_Akemi Okamura_>, <Person id:0386286[http] name:_Hiroaki Hirata_>, <Person id:0945322[http] name:_Kappei Yamaguchi_>, <Person id:0620017[http] name:_Kazuya Nakai_>, <Person id:0849028[http] name:_Mayumi Tanaka_>, <Person id:0944985[http] name:_Akiko Yajima_>, <Person id:0848987[http] name:_Hideyuki Tanaka_>, <Person id:0849776[http] name:_Isamu Tanonaka_>, <Person id:0394723[http] name:_Ken'yû Horiuchi_>, <Person id:0031844[http] name:_Takeshi Aono_>, <Person id:0312656[http] name:_Tesshô Genda_>, <Person id:0793585[http] name:_Sumi Shimamoto_>, <Person id:0351338[http] name:_Daisuke Gôri_>, <Person id:1525194[http] name:_Hisayoshi Suganuma_>, <Person id:0370677[http] name:_Megumi Hayashibara_>, <Person id:1579412[http] name:_Osamu Ryutani_>, <Person id:1132505[http] name:_Tetsu Inada_>, <Person id:2344394[http] name:_Yukiko Ueno_>]",2001,[<Company id:0062107[http] name:_Toei Animation_>],['Japan'],"[<Company id:0053157[http] name:_Toei Company_>, <Company id:0453279[http] name:_Kazé Germany_>, <Company id:0453279[http] name:_Kazé Germany_>]","['France:Tous publics::(DVD rating)', 'Germany:12', 'Spain:12', 'United Kingdom:12::(DVD rating)']","['Animation', 'Adventure', 'Comedy', 'Fantasy']",03 Mar 2001 (Japan),6.8,2113
