producers,directors
['2246748'],"['1245306', '1564830']"
"['1007620', '0099748', '0501590', '0851724']","['0002174', '0071117', '0099379', '0181117', '0216816', '0243191', '0244378', '0432369', '0501590', '0512071', '0513371', '0618729', '0653366']"
"['0438210', '0657921', '0782270', '0806189', '0808819', '0908323', '0922279']",['0000500']
['1029039'],"['1000898', '1037263']"
"['0390350', '0687739']",['0687739']
"['0030651', '0314480', '3013105', '0840699', '0842858', '1557536']",['0790746']
[],"['0041334', '0665262']"
"['0055431', '0001060', '0243462', '0358334', '0705365', '0752671', '0783139']",['0783139']
"['0628222', '0636487', '0646919', '0723704', '0864964', '0950055']","['0636487', '0723704']"
"['1293813', '0793104', '0793687', '0847246', '0866387', '2911605', '2603955']",['2293309']
[],['1167622']
"['0375717', '0375991']","['0997091', '0999536']"
"['0381857', '0007139']",['0946875']
[],['1060975']
"['1236503', '1037430', '1211903', '3664111', '1037557', '2556188', '2166622', '1082471', '4735036']",['1829961']
"['0254645', '0277896', '0367286', '0005076', '0513502', '1306049', '0704968', '0744429', '0000229', '0912403', '0930964']","['0011470', '0421776']"
['3517720'],['1011775']
"['0008378', '0297878', '8296148', '0437573', '0442930', '1709450', '0555470', '0556237', '0622424', '2026239', '2456592', '5704899', '0625664', '0653004', '2014327', '0793699', '8296149', '8296151', '0847692', '8296150', '1229130', '0913857', '0945389', '1989445']",['0727336']
"['0969066', '0969284', '0969734', '0969889', '0793231']","['0968861', '0223403']"
"['10987783', '8442426']","['9440494', '8381343', '8442426']"
"['0356280', '0353893']","['0873779', '0936374']"
"['0014470', '0352372', '0459354', '0497019', '0607123', '0756983', '0756991', '1047015']","['0756983', '1012102']"
"['0343570', '0410985', '6456205', '0434782', '1155541', '3954562', '0452757', '0473539', '0559645', '0586828', '0605303', '4914591', '0683609', '0767979', '0945669', '0948914', '0948980']","['0951197', '0540443']"
"['0145591', '1160634']",['0136551']
"['3069391', '4198675', '0847246', '0866387', '0868067', '2603955']",['0408098']
[],['1145996']
"['1913598', '0259689', '1749204', '1916093', '0466474', '0005124', '1910536', '2001426', '1084385', '0840699', '0865807', '0879969', '1576785']",['0594503']
"['0475238', '1030704', '3517720', '0847538']","['0846991', '0847705']"
"['2432534', '1115065']",['1032257']
['1259616'],['0441090']
['0538592'],['0464804']
"['1189002', '1134802']","['0209216', '1134802']"
"['0219550', '0125803', '0268380', '0279037', '1026930', '0672015', '0858554', '0907869']","['0125803', '0268380']"
"['0122827', '0137811', '0191349', '0386650', '0388237', '2973322', '0521621', '0784124', '0807749']",['0415422']
[],['0700237']
"['11783765', '11783766', '0437573', '0556237', '0590915', '0847330', '11783767', '1229130', '0879922', '11782047', '0948971', '1995375']","['0913860', '0645513', '0645657', '1988172']"
"['0019283', '0318497', '0367550', '0595151', '0694252']",['0613471']
"['1080151', '1029039', '1038379', '0580407', '0778105', '0800800', '0632312', '0850386']","['0994468', '0000343', '1000898', '1037263', '0506703', '0778108', '0800800', '0632312']"
"['0104932', '0581554', '0688897', '0769405', '1158203']","['0902741', '0312881']"
['0765692'],['0658904']
"['2116295', '2903682']",['0042574']
[],"['0013837', '2756034', '0867802']"
"['1157706', '0340503', '1155309', '0745199', '1156397', '1157727']","['0753032', '0745199']"
"['1412266', '0630564']",['0333570']
['1008335'],['1513813']
"['0353902', '1182391']","['0353902', '2106115']"
[],['1066559']
"['0026565', '0240640', '0005124', '0706032', '0004056']","['0230032', '0798899', '0881279']"
['0852845'],['1001247']
"['1317546', '1315988', '1957116', '1956408', '0883400']","['1314221', '0702505']"
['3557109'],['0903474']
"['0017285', '0204884', '0372935', '0550708', '0644203', '0685597', '0790116']",['0204884']
"['3030137', '0442930', '3019705', '3483081', '2161957', '1754680', '1229130', '0913857', '11250340', '5734020']","['1257058', '0847432']"
['0753651'],['1088737']
['1212034'],['1211088']
"['0637577', '2166622', '1082471']",['0794000']
"['2488534', '0411070', '2631098', '0794200']",['2324235']
"['0022861', '0147603', '2175128', '0764729', '0769405']",['0195039']
['0267248'],['0544306']
[],['0749599']
"['1281922', '0411070', '0434393', '0442930', '0443228', '2370367', '2492651', '2019660', '5704899', '1086183', '0653004', '1743582', '1086506', '0766226', '6458076', '1356454', '0768037', '0792438', '6458075', '0847220', '1033257', '0913857']",['0594084']
"['1064510', '0004074', '0580897', '1066073', '2277056']",['0580897']
['1098932'],['1094859']
"['1195021', '1186116']",['1186116']
"['0008859', '0153724', '1034061', '0971890', '0660570', '0745766', '1225157', '1063099']","['1180460', '0177015']"
"['0149223', '0158825', '0423275', '0496556', '0532146', '1090121']",['1090408']
"['2090472', '1097467', '1097471', '1099572']",['1097467']
"['4343369', '0473544']","['3018833', '1993986', '0632726', '1651757', '1987731', '0866707', '1751801', '0945366']"
"['4343369', '0473544']","['3421291', '2041214', '1993986', '0632726', '1987731', '0866707', '1751801', '0945366']"
['0852845'],['1001073']
[],"['0099471', '1125646', '1125771', '1124868', '1126697', '1126711', '1126988', '0655104', '0676083', '1127231', '0837910', '1127737']"
[],['0417757']
"['9024234', '1293813', '0793687', '0847246', '0866387', '2603955']",['2293309']
"['3139998', '2411933', '0972227', '2906903', '3139836', '3140227']",['1167622']
"['0232561', '1000858', '0577560']","['0917188', '0757858']"
"['0538592', '1491869']",['0620236']
"['0452221', '13328309']",['0303542']
"['1197444', '1403327']",['1197444']
"['1081619', '1077070', '1077873']",['1077873']
"['1065679', '1049039']",['1049039']
"['13680412', '2577652', '1037430', '13680414', '0297878', '1211903', '1058469', '3664111', '13686047', '1037557', '13680415', '13680416', '1257504', '0441394', '2596374', '2041897', '0605303', '2166622', '13680418', '13680417', '1082471', '0847230', '3963443', '2415296', '1576785', '4968871', '1775664', '2593464', '4735036', '13680413']",['1829961']
"['0297814', '5965101', '1867996', '0442930', '2556657', '0559526', '0590938', '5138240', '1119810', '2155063']",['0632726']
['4851938'],['1060975']
[],['3609073']
[],['1239956']
"['0040404', '0397492', '0005076', '0814969']","['0038432', '0177170']"
['0888614'],"['0459571', '0692770']"
"['0058799', '1154908', '0372935', '0685597', '0700834', '0897267']",['0970388']
"['0809126', '1192875']","['0213450', '0761498']"
[],"['0614011', '0951345']"
"['0145429', '0494020', '0566833', '0587997', '1205851', '1203810', '1066569', '1408329']","['0566833', '0850733']"
['1283073'],['1284237']
"['0015340', '1701433']",['2167830']
"['0343570', '0434782', '3954562', '0473539', '0559645', '0605303', '0683609', '0948980']","['0540443', '0951197']"
"['0164063', '0279651', '7833637', '0528930', '0591450', '0613740', '1247594', '0914014', '0926824']",['0591450']
"['0098153', '0123931', '0195295', '0579852']",['0735671']
"['1913598', '0218760', '1916093', '2055761', '1566098', '1910536', '10502687', '0594503', '0840699', '0847182', '0847230', '2056719', '1576785']",['1293863']
[],['0464781']
[],['0994306']
['0753651'],['0603756']
['1909353'],['0474729']
"['0048194', '0431835', '2479873', '0559191', '0625791', '0841610']",['0841610']
"['0191349', '1227430', '0357958', '0386650', '0614222', '1044280']","['4733902', '1997104', '0847614', '2164771']"
"['7538470', '1949151', '0143320', '7538468', '8129006', '0190780', '0372935', '3013105', '0458312', '0469691', '0527112', '1479531', '7538469', '0685597', '0728317', '8129007', '0861217', '0899329', '0906606']","['0539782', '0569814']"
['1318856'],['1248004']
"['0382375', '0539516']",['0582798']
"['0074073', '0095058', '0414734']",['0406936']
"['4132173', '0764216']",['1010601']
"['0098767', '1127018', '0680064', '1008415']","['1007740', '1008415']"
['2528969'],['1919884']
['0641353'],['0172089']
[],['1413822']
"['0166256', '0174807', '1275326', '0615780']","['0166256', '0615780']"
"['8827204', '8827203', '0636487', '0723704', '0864964']",['0723704']
"['0110293', '0110294', '1666055', '0441429', '1038380', '1283718', '0550335', '0593420', '3005164', '0923298']","['0441429', '0923298', '0593420']"
"['1209508', '0367955', '0409279', '1434206']",['0644971']
"['0037738', '0184445', '0316406', '0475113', '0522396', '0687254', '0001191', '0875408', '0885214', '0934412']",['0444054']
['0821413'],['1126689']
"['1298112', '1302985']",['0255540']
"['8219248', '1257504', '0441394', '1175815', '0473539', '2041897', '4218847', '2823068', '11742271', '11742269', '11742270', '7126596', '2593464', '11742272']",['0223411']
"['0110333', '0116369', '1136879', '0848710']",['0368645']
"['0595198', '2787005']",['0846700']
"['2530124', '1300063', '0958766']",['1300063']
"['0997125', '2166622', '1082471', '0879922']",['0794000']
"['0355220', '0943309']",['0884336']
[],['0255540']
['0087689'],['0217052']
['2756705'],['2756883']
[],"['0884054', '3179970', '0798243']"
['5358418'],['5358418']
"['8076716', '0958744']",['1353170']
"['1165365', '1335650']","['1333375', '0253727', '1332672', '1335307', '1335784']"
"['0153724', '0861409']",['0872045']
"['0141125', '1300483', '0513762', '1302085']",['0190890']
"['1090247', '1334525', '1334368', '1334630', '1335182']",['1334631']
"['9024234', '1293813', '0645447', '0793687', '3445653', '2603955']",['0879812']
"['2906866', '2411933', '2913076', '2906903', '2912075', '2912317']",['1167622']
"['0057664', '1346579', '0660570']",['0322368']
"['1650390', '2242060', '0783652']","['0538770', '0111588', '0155940', '0581790']"
[],['1396652']
[],['1829961']
['2531690'],['1046242']
[],['1347425']
"['1659903', '1428647', '10935369']","['1659903', '1655111']"
"['1323127', '1319357', '1367723', '0839331', '1129097', '0945293']",['1340910']
[],"['1373310', '1369665']"
"['0263428', '0320868']",['0320868']
"['1006551', '0311728', '0300580']",['0630802']
"['1380146', '0005124', '0506977', '0910237']","['0004056', '0881279']"
"['1639423', '0116369', '0128221', '0315706', '0741318', '1320355']",['0158984']
"['0411942', '0591036']",['0591036']
"['0051939', '1120127', '0208878', '1385432', '4198675', '0793687']","['0632788', '3252786', '0559535', '1387613']"
"['0103208', '2214263']",['6032566']
"['0555470', '1218073', '2420299', '2523577', '2121212']",['0466901']
"['0010122', '0143320', '0190780', '0372935', '3013105', '0458312', '0469691', '0685597', '1110632', '0822977', '0861217', '0883368', '0906606']","['0256983', '0899329']"
"['0126785', '0238941', '2668794', '1148849', '1907494']","['1065068', '0969927']"
"['0000108', '1519562']","['0083228', '1325469', '0187252', '1081109', '0500976', '1375613', '1375844', '0657372', '0875056', '1376717']"
"['0040404', '0393755', '0005076', '0814969']","['1369708', '0426333']"
"['0050359', '0488342', '1848076', '0333333', '1848124', '1852222', '0428917', '1848315']",['0370985']
"['0273429', '0679264']",['0062524']
"['0104932', '0251536', '2871898', '2270364', '1241938', '0769405', '1158203', '0917833']","['0769405', '0312881']"
"['0381116', '0431918', '0562110', '0596867']",[]
"['8219233', '5678979', '2806170', '0343570', '0434782', '2805950', '0473539', '0559645', '0605303', '1137449', '4783760', '0683609', '2809048', '8061933', '5785620', '0875441', '2512039', '0948914', '0948980', '2805145']","['0951197', '0835688']"
"['1706446', '1126903', '0913857']",['1496044']
[],['10910717']
"['1244310', '3369338', '1087798', '0538592', '0555470', '1633366', '4115116', '0847692', '5648302', '1754696']",['0464804']
"['1672381', '1136879', '1672479']",['1669021']
['4417559'],['4417396']
"['0123396', '0477102', '0938939']",['0481674']
['0759450'],['0595347']
"['0432723', '0583077', '0671038', '0888128']",['0432723']
"['2840945', '0492969', '0517318', '2841518', '1465929', '1465930', '0772732', '0825350', '0557947', '1774239']",['2102344']
[],['10583831']
"['1764727', '1764823']",['1760798']
['1477349'],['1476719']
"['2623090', '2621679', '2507310', '2622406']",['0411149']
['1050063'],['0919262']
"['0451035', '0930285']","['0086431', '1074107']"
"['3117502', '10365623', '1227430', '1308625', '0357958', '0399746', '0499787', '1407295', '1583271']","['0686023', '0317602']"
"['1834413', '2504939', '0192424']",['1776878']
"['1298112', '1302985']",['3804490']
"['0002211', '0236421', '0325927', '0800210', '0918463']","['0001102', '0325196']"
"['1480420', '1491111', '0701928', '1490971']","['0184308', '0819861']"
"['1485642', '0147603', '0162085', '0615762']",['0195039']
"['3147580', '3148820', '0441412', '0972227', '3070794', '2267587', '3148125']",['2855613']
"['1117278', '0555263', '0579402', '1119369', '0900280']",['0655870']
[],"['1626411', '0823088']"
[],['8043188']
"['1622197', '0270800', '0273429', '0273327', '1622295', '1160071', '1558950', '1565106', '1576507']",['1160071']
"['0267248', '3272438']",['0286196']
"['0133357', '0141125', '1077320']",['0622826']
[],['0864782']
"['1004347', '0394672', '0997125', '2285784', '5036518', '1082471', '0840644', '0879922', '0948944']",['0794000']
[],['0847294']
"['9917087', '1139738']",['1139738']
"['0007317', '2611470', '4329292', '1144191', '0678533', '2612208', '2544488', '0843431', '0908816', '1111302']","['0075010', '1302411']"
[],['0956036']
"['1498400', '0271935', '1240647']",['1498400']
[],[]
[],['0053484']
"['0059718', '0140466', '1034061', '0438741', '0826137', '0251482', '0842858']",['0074723']
"['1583106', '1888984']",['0408043']
['0911026'],['1856821']
"['1426619', '0347775', '0347776', '2052281', '2453360']",['1104944']
"['1379323', '0154429', '1572145', '1479793', '0596140', '1574552']",['0481451']
[],['0945674']
"['0041143', '0287149', '0971890', '1622245', '4232135', '7345936', '0776202', '0949828', '0949899', '1560772']","['0708371', '0872045']"
"['3578875', '4056818']",['3650142']
[],[]
"['1092332', '0335744', '0437573', '1622252', '0496556', '0556237', '1216495', '1664401', '1451722']",['0032925']
"['0258268', '0411070', '0412669', '0437573', '0556237', '0594079', '3009215', '0840699', '1525260']",['0651900']
"['0436606', '0645447', '0793687', '3445653', '0974574', '2603955']",['1387613']
[],['1167622']
[],['3609073']
"['0116369', '0315706', '1572145', '1479793', '1574552', '1575263']",['1158974']
"['1661097', '0470465', '1040781', '1640694', '1668062', '1637852', '1019290', '0913305']","['0470465', '1637852']"
"['1802992', '1549553', '0374386', '0536385', '0557897', '1033137']","['1601862', '1580685', '0280745']"
"['0223107', '0825733']","['0278181', '0998551']"
"['0104932', '1108620', '1079522', '1889760', '1491858', '0699828', '0708823', '4875078']","['0769405', '0252289']"
['1531117'],"['1534594', '0073297']"
"['0224712', '0390350', '0000588', '0687739']",['0687739']
[],['1598205']
['1082471'],['0945506']
['0625040'],['0625040']
"['3557018', '3562823', '3563158', '3715959']","['3557018', '3562823', '3563158']"
"['0005076', '0513502', '0912403', '0930964']","['0011470', '0038432', '0970447']"
"['0204862', '0408254', '0453104', '0532650', '0542454']",['0382072']
[],['1211088']
['1650285'],['1650285']
[],"['1636687', '1065514']"
"['0098153', '0123931', '1507091']",['1020310']
"['0243629', '1244658', '1359592', '0678664', '1565106', '3753388', '1576507']",['0732106']
"['1715627', '1718133']",['1672034']
"['1709450', '1084061', '0913857']",['0960028']
"['8219233', '0343570', '0434782', '2805950', '0452757', '0473539', '0559645', '0605303', '2809060', '2625837', '0683609', '8061933', '0875441', '8094703', '0945669', '0948914', '0948980', '2805145']","['0951197', '1229511']"
"['0034712', '3815259', '2492651', '2480473', '1562814', '0840714', '1259616', '6517256']","['1482702', '0605479']"
"['8219233', '1227651', '0343570', '0434782', '0586828', '1280767']","['0171754', '0835688', '1022334']"
['3309461'],['0645513']
"['0007317', '0049630', '1757862', '0003569', '0236026', '0358530', '0375096', '0421639', '1287746', '1162021', '0853131', '1789895']",['0754050']
"['0218760', '2055761', '0005124', '1566098', '0594503', '0840699']",['0594503']
"['1789770', '1789783', '1778013', '6536357', '0813355', '1782949', '9026651']",['1782949']
"['0198632', '0372329', '0005076', '0781910', '0842616']","['0074426', '0421776', '1224299']"
[],"['9016423', '0414842']"
